網址,標題
https://crazy.ck101.com/post/13786,雙北民眾注意！ 土石流黃色警戒53條
https://crazy.ck101.com/post/13784,89小妹就是狂
https://crazy.ck101.com/post/13782,暴雨來襲！台北地區遍地開花　這些地方都淹水了
https://crazy.ck101.com/post/13780,亞培安素等6產品共客訴629件　衛生局：全下架
https://crazy.ck101.com/post/13777,爭鮮極限大胃王挑戰
https://crazy.ck101.com/post/13776,人不勝天！日本天災露餡 核電廠全黑 人工島機場長期封鎖…???
https://crazy.ck101.com/post/13775,現在團體的心態想法就只會講幹話嗎???
https://crazy.ck101.com/post/13769,兒煮河豚肝孝親　阿爸吃一口呼吸衰竭插管
https://crazy.ck101.com/post/13768,兒子玩「吃雞」遊戲仿跳樓亡 母控內容不實：告到它破產
https://crazy.ck101.com/post/13767,批判以核養綠 環團說核廢仍是難題???
https://crazy.ck101.com/post/13762,國防部為2000多元告台水 法官斥耗費司法資源損及政府競爭力
https://crazy.ck101.com/post/13761,恢復處女膜
https://crazy.ck101.com/post/13760,【悲傷片】駕動力傘迫降　飛行傘協會前理事命喪蘭陽溪
https://crazy.ck101.com/post/13757,【崩潰片】阿根廷貨幣危機惡化！升息至60%全球最高 　披索再暴跌
https://crazy.ck101.com/post/13756,衛生紙、499之後連麥當勞都來亂　網友稱鬼島日常
https://crazy.ck101.com/post/13755,亞運棒球中華隊與日本0比5遭完封 明與中國爭銅
https://crazy.ck101.com/post/13753,死囚李宏基伏法 廢死嗆用人頭換人投
https://crazy.ck101.com/post/13752,中年女子亂丟垃圾 人家是女生 大聲沒禮貌
https://crazy.ck101.com/post/13750,綠營4年前倡核四公投，4年後自打臉
https://crazy.ck101.com/post/13749,挺綠網友也要硬拗跳出來護航了嗎???
https://crazy.ck101.com/post/13746,破解以核養綠十大謊言 環團：馬英九不該講不負責幹話
https://crazy.ck101.com/post/13743,長輩圖呼籲「以核養綠」？別再相信沒有根據的說法了???
https://crazy.ck101.com/post/13740,吳祥輝揚言砍人，造成人民恐慌。
https://crazy.ck101.com/post/13739,好市多接連出包！生蝦驗出致癌物，酪梨重金屬鎘超標，草莓藍莓農藥超標
https://crazy.ck101.com/post/13735,中南部豪雨成災！吳敦義夫人見獵心喜喊「老天有眼」
https://crazy.ck101.com/post/13732,黃國昌下戰書　體協集體舞弊憑啥緩起訴？
https://crazy.ck101.com/post/13730,這.....斷句斷的有點強
https://crazy.ck101.com/post/13729,海濤法師到英國墓園燒香做法 佛教徒不解問「做秀嗎」
https://crazy.ck101.com/post/13727,痛痛痛!!! 疼疼疼!!!亞運棒球贏南韓 作家朱宥勳被打臉!!!
https://crazy.ck101.com/post/13723,報告蔡總統與賴院長：這樣的雨下在基隆河流域不會淹水
https://crazy.ck101.com/post/13715,爆紅蔣月惠拄杖抗議　「雨神同行」護屏東大灣美景
https://crazy.ck101.com/post/13710,台南淹水遭批治水失敗 賴清德：批評的人去當上帝
https://crazy.ck101.com/post/13703,想砸店卻先砸暈同夥 根本豬隊友無誤
https://crazy.ck101.com/post/13700,神鬼建築師
https://crazy.ck101.com/post/13699,西班牙翻譯謊稱自己是設計師？！還當上建築獎評審
